name,marker-color,marker-size,marker-symbol,id,feature-type,notes,geology,lon,lat
Scar Cementstone,#000000,,,187,Stone,Outcrop and landslip,Portland Sand,-2.55858,50.67176
Scar Cementstone,#000000,,,188,Stone,Outcrop and landslip,Portland Sand,-2.55864,50.67183
Rocket Quarry,#000000,,,189,Stone,,Sarsen,-2.55528,50.67262
Rocket Quarry,#000000,,,190,Stone,,Sarsen,-2.55515,50.67282
Rocket Quarry,#000000,,,191,Stone,,Sarsen,-2.55512,50.67288
Rocket Quarry,#000000,,,192,Stone,,Sarsen,-2.55519,50.67297
Portesham Hill,#000000,,,193,Stone,,Sarsen,-2.5608,50.67297
Limekiln Crags,#000000,,,194,Stone,,Upper Greensand,-2.58346,50.66919
Limekiln Crags,#000000,,,195,Stone,,Upper Greensand,-2.58271,50.66993
Limekiln Crags,#000000,,,196,Stone,,Upper Greensand,-2.58392,50.66972
Limekiln Crags,#000000,,,197,Stone,,Upper Greensand,-2.58054,50.6699
Limekiln Crags,#000000,,,198,Stone,,Upper Greensand,-2.5795,50.6701
Limekiln Crags,#000000,,,199,Stone,,Upper Greensand,-2.57981,50.67028
Limekiln Crags,#000000,,,200,Stone,,Upper Greensand,-2.5804,50.67005
Limekiln Crags,#000000,,,201,Stone,,Upper Greensand,-2.58051,50.67002
Limekiln Crags,#000000,,,202,Stone,,Upper Greensand,-2.58046,50.66996
Limekiln Crags,#000000,,,203,Stone,,Upper Greensand,-2.58059,50.66996
Limekiln Crags,#000000,,,204,Stone,,Upper Greensand,-2.58084,50.67018
Limekiln Crags,#000000,,,205,Stone,,Upper Greensand,-2.58035,50.67041
Limekiln Crags,#000000,,,206,Stone,,Upper Greensand,-2.58074,50.67036
Limekiln Crags,#000000,,,207,Stone,,Upper Greensand,-2.58088,50.67021
Limekiln Crags,#000000,,,208,Stone,,Upper Greensand,-2.58148,50.67033
Limekiln Crags,#000000,,,209,Stone,,Upper Greensand,-2.58164,50.67035
Limekiln Crags,#000000,,,210,Stone,,Upper Greensand,-2.58176,50.67047
Limekiln Crags,#000000,,,211,Stone,,Upper Greensand,-2.58143,50.67053
Limekiln Crags,#000000,,,212,Stone,,Upper Greensand,-2.58107,50.67061
Limekiln Crags,#000000,,,213,Stone,,Upper Greensand,-2.58167,50.67083
Limekiln Crags,#000000,,,214,Stone,,Upper Greensand,-2.5791,50.67116
Limekiln Crags,#000000,,,215,Stone,,Upper Greensand,-2.58074,50.67098
Limekiln Crags,#000000,,,216,Stone,,Upper Greensand,-2.58091,50.67106
Limekiln Crags,#000000,,,217,Stone,,Upper Greensand,-2.58231,50.67101
Eggardon Hill,#000000,,,218,Stone,,Upper Greensand,-2.65931,50.74971
Eggardon Hill,#000000,,,219,Stone,,Upper Greensand,-2.65929,50.74978
Eggardon Hill,#000000,,,220,Stone,,Upper Greensand,-2.65946,50.74974
Eggardon Hill,#000000,,,221,Stone,,Upper Greensand,-2.65949,50.74966
Eggardon Hill,#000000,,,222,Stone,,Upper Greensand,-2.65957,50.74986
Eggardon Hill,#000000,,,223,Stone,,Upper Greensand,-2.65956,50.74994
Eggardon Hill,#000000,,,224,Stone,,Upper Greensand,-2.66019,50.75006
Eggardon Hill,#000000,,,225,Stone,,Upper Greensand,-2.66,50.75016
Eggardon Hill,#000000,,,226,Stone,,Upper Greensand,-2.6601,50.75021
Eggardon Hill,#000000,,,227,Stone,,Upper Greensand,-2.65611,50.75108
Eggardon Hill,#000000,,,228,Stone,,Upper Greensand,-2.65604,50.75109
Eggardon Hill,#000000,,,229,Stone,,Upper Greensand,-2.65588,50.75117
Eggardon Hill,#000000,,,230,Stone,,Upper Greensand,-2.65603,50.75116
Eggardon Hill,#000000,,,231,Stone,,Upper Greensand,-2.65611,50.75115
Eggardon Hill,#000000,,,232,Stone,,Upper Greensand,-2.65622,50.75135
Eggardon Hill,#000000,,,233,Stone,,Upper Greensand,-2.65617,50.75116
Eggardon Hill,#000000,,,234,Stone,,Upper Greensand,-2.65622,50.75116
Eggardon Hill,#000000,,,235,Stone,,Upper Greensand,-2.65624,50.75123
Eggardon Hill,#000000,,,236,Stone,,Upper Greensand,-2.65624,50.75127
Eggardon Hill,#000000,,,237,Stone,,Upper Greensand,-2.66148,50.75203
Eggardon Hill,#000000,,,238,Stone,,Upper Greensand,-2.6615,50.75229
Eggardon Hill,#000000,,,239,Stone,,Upper Greensand,-2.66166,50.7523
Eggardon Hill,#000000,,,240,Stone,,Upper Greensand,-2.65842,50.75303
Eggardon Hill,#000000,,,241,Stone,,Upper Greensand,-2.65855,50.75305
Eggardon Hill,#000000,,,242,Stone,,Upper Greensand,-2.65859,50.7531
Eggardon Hill,#000000,,,243,Stone,,Upper Greensand,-2.66056,50.75336
Eggardon Hill,#000000,,,244,Stone,,Upper Greensand,-2.66075,50.7534
Eggardon Hill,#000000,,,245,Stone,,Upper Greensand,-2.66076,50.75345
Eggardon Hill,#000000,,,246,Stone,,Upper Greensand,-2.66105,50.75346
Eggardon Hill,#000000,,,247,Stone,,Upper Greensand,-2.66123,50.75345
Eggardon Hill,#000000,,,248,Stone,,Upper Greensand,-2.66117,50.75339
Eggardon Hill,#000000,,,249,Stone,,Upper Greensand,-2.66125,50.75341
Eggardon Hill,#000000,,,250,Stone,,Upper Greensand,-2.66137,50.75342
Eggardon Hill,#000000,,,251,Stone,,Upper Greensand,-2.66129,50.7536
Eggardon Hill,#000000,,,252,Stone,,Sarsen,-2.66139,50.75359
Eggardon Hill,#000000,,,253,Stone,,Upper Greensand,-2.66149,50.75336
Eggardon Hill,#000000,,,254,Stone,,Upper Greensand,-2.66154,50.7533
Eggardon Hill,#000000,,,255,Stone,Outcrop,Upper Greensand,-2.66079,50.75389
Eggardon Hill,#000000,,,256,Stone,,Upper Greensand,-2.66293,50.75365
Eggardon Hill,#000000,,,257,Stone,,Upper Greensand,-2.66284,50.75369
Eggardon Hill,#000000,,,258,Stone,,Upper Greensand,-2.66276,50.75372
Eggardon Hill,#000000,,,259,Stone,,Upper Greensand,-2.66171,50.75404
Eggardon Hill,#000000,,,260,Stone,,Upper Greensand,-2.66181,50.75401
Eggardon Hill,#000000,,,261,Stone,,Upper Greensand,-2.66196,50.75397
Eggardon Hill,#000000,,,262,Stone,,Upper Greensand,-2.66241,50.75393
Eggardon Hill,#000000,,,263,Stone,,Upper Greensand,-2.6623,50.75398
Eggardon Hill,#000000,,,264,Stone,,Upper Greensand,-2.66223,50.75402
Eggardon Hill,#000000,,,265,Stone,,Upper Greensand,-2.66221,50.75411
Eggardon Hill,#000000,,,266,Stone,,Upper Greensand,-2.66219,50.75417
Eggardon Hill,#000000,,,267,Stone,,Upper Greensand,-2.66195,50.7542
Eggardon Hill,#000000,,,268,Stone,,Upper Greensand,-2.66186,50.75417
Eggardon Hill,#000000,,,269,Stone,,Upper Greensand,-2.6618,50.75423
Eggardon Hill,#000000,,,270,Stone,,Upper Greensand,-2.66211,50.75431
Eggardon Hill,#000000,,,271,Stone,,Upper Greensand,-2.6622,50.75431
Eggardon Hill,#000000,,,272,Stone,,Upper Greensand,-2.6623,50.75431
Eggardon Hill,#000000,,,273,Stone,,Upper Greensand,-2.66234,50.75426
Eggardon Hill,#000000,,,274,Stone,,Upper Greensand,-2.6624,50.75428
Eggardon Hill,#000000,,,275,Stone,,Upper Greensand,-2.66243,50.75422
Eggardon Hill,#000000,,,276,Stone,,Upper Greensand,-2.66249,50.75418
Eggardon Hill,#000000,,,277,Stone,,Upper Greensand,-2.66229,50.7544
Eggardon Hill,#000000,,,278,Stone,,Upper Greensand,-2.66214,50.75447
Eggardon Hill,#000000,,,279,Stone,,Upper Greensand,-2.66309,50.75404
Eggardon Hill,#000000,,,280,Stone,,Upper Greensand,-2.66312,50.75399
Eggardon Hill,#000000,,,281,Stone,,Upper Greensand,-2.66326,50.75396
Eggardon Hill,#000000,,,282,Stone,,Upper Greensand,-2.66332,50.75391
Eggardon Hill,#000000,,,283,Stone,,Upper Greensand,-2.66341,50.75387
Crow Hill,#000000,,,284,Stone,,Sarsen,-2.57669,50.6891
Crow Hill,#000000,,,285,Stone,,Sarsen,-2.57648,50.68923
Crow Hill,#000000,,,286,Stone,,Sarsen,-2.57642,50.68922
Crow Hill,#000000,,,287,Stone,,Sarsen,-2.57633,50.68923
Crow Hill,#000000,,,288,Stone,,Sarsen,-2.57628,50.68923
Crow Hill,#000000,,,289,Stone,,Sarsen,-2.57623,50.68925
Crow Hill,#000000,,,290,Stone,,Sarsen,-2.57629,50.68931
Crow Hill,#000000,,,291,Stone,,Sarsen,-2.57621,50.68931
Valley of Stones,#000000,,,292,Stone,,Sarsen,-2.57326,50.69002
Valley of Stones,#000000,,,293,Stone,,Sarsen,-2.57325,50.68999
Valley of Stones,#000000,,,294,Stone,,Sarsen,-2.57321,50.69
Valley of Stones,#000000,,,295,Stone,,Sarsen,-2.57318,50.68995
Valley of Stones,#000000,,,296,Stone,,Sarsen,-2.57288,50.68984
Valley of Stones,#000000,,,297,Stone,,Sarsen,-2.57294,50.6898
Valley of Stones,#000000,,,298,Stone,,Sarsen,-2.57276,50.68971
Valley of Stones,#000000,,,299,Stone,,Sarsen,-2.57279,50.68967
Valley of Stones,#000000,,,300,Stone,,Sarsen,-2.57239,50.68947
Valley of Stones,#000000,,,301,Stone,,Sarsen,-2.57236,50.68944
Valley of Stones,#000000,,,302,Stone,,Sarsen,-2.5723,50.68947
Valley of Stones,#000000,,,303,Stone,,Sarsen,-2.57222,50.6895
Valley of Stones,#000000,,,304,Stone,,Sarsen,-2.57226,50.68944
Valley of Stones,#000000,,,305,Stone,,Sarsen,-2.5722,50.68945
Valley of Stones,#000000,,,306,Stone,,Sarsen,-2.57215,50.68945
Valley of Stones,#000000,,,307,Stone,,Sarsen,-2.57212,50.68942
Valley of Stones,#000000,,,308,Stone,,Sarsen,-2.57218,50.6894
Valley of Stones,#000000,,,309,Stone,,Sarsen,-2.57213,50.68939
Valley of Stones,#000000,,,310,Stone,,Sarsen,-2.57208,50.68938
Valley of Stones,#000000,,,311,Stone,,Sarsen,-2.57206,50.68936
Valley of Stones,#000000,,,312,Stone,,Sarsen,-2.572,50.68936
Valley of Stones,#000000,,,313,Stone,,Sarsen,-2.57206,50.68932
Valley of Stones,#000000,,,314,Stone,,Sarsen,-2.57201,50.68932
Valley of Stones,#000000,,,315,Stone,,Sarsen,-2.57192,50.6893
Valley of Stones,#000000,,,316,Stone,,Sarsen,-2.57197,50.68928
Valley of Stones,#000000,,,317,Stone,,Sarsen,-2.57201,50.68923
Valley of Stones,#000000,,,318,Stone,,Sarsen,-2.5719,50.68923
Valley of Stones,#000000,,,319,Stone,,Sarsen,-2.57186,50.68918
Valley of Stones,#000000,,,320,Stone,,Sarsen,-2.57176,50.68918
Valley of Stones,#000000,,,321,Stone,,Sarsen,-2.57164,50.68917
Valley of Stones,#000000,,,322,Stone,,Sarsen,-2.57171,50.68913
Valley of Stones,#000000,,,323,Stone,,Sarsen,-2.57168,50.68912
Valley of Stones,#000000,,,324,Stone,,Sarsen,-2.57165,50.68911
Valley of Stones,#000000,,,325,Stone,,Sarsen,-2.5716,50.6891
Valley of Stones,#000000,,,326,Stone,,Sarsen,-2.57161,50.68907
Valley of Stones,#000000,,,327,Stone,,Sarsen,-2.57165,50.68905
Valley of Stones,#000000,,,328,Stone,,Sarsen,-2.5717,50.68904
Valley of Stones,#000000,,,329,Stone,,Sarsen,-2.57155,50.68904
